,rank,goodness,bad_minimax,frequency,neutrals_minimax,variance,human_selected
0,11.25,0.2077436215104592,-0.120874358605358,12236.0,-0.13278396195793385,0.5409150427551616,0
1,26.25,0.21447447905992675,-0.14147949836825768,18748.0,-0.14097582047457627,0.42383015918454986,0
2,33.75,0.19835805187470282,-0.16095735872023698,12806.0,-0.17681189113745174,0.27342274787879167,0
3,42.5,0.1995033247695046,-0.2573744929955779,20996.0,-0.16775801558914225,0.4749073759981088,0
4,52.5,0.1925366264581797,-0.17846571380281284,4501.0,-0.1709716882472508,0.4872519066182224,0
5,3.75,0.32854882054558493,-0.1033962607408766,457.0,-0.18011710755243604,0.48970629561395934,0
6,30.0,0.27123802044511763,-0.15029279703843146,1620.0,-0.21396117538918866,0.355664385781266,0
7,50.0,0.2929379290331876,-0.18208664457681592,10316.0,-0.16767933225355525,0.5424721276828983,0
8,55.0,0.2517223787267443,-0.12402632322129485,1022.0,-0.1708140828490273,0.32932557452487027,0
9,61.25,0.24815375910692172,-0.13515342280350148,1475.0,-0.10940784010182647,0.307468427773303,1
10,6.25,0.34109538043796156,-0.2439080811995252,11662.0,-0.22516562907263357,0.618629747091051,0
11,55.0,0.31313119043596127,-0.2297137758481181,7688.0,-0.4240322145628153,0.6391951328455402,0
12,62.5,0.31343163080769515,-0.1657998069443342,12414.0,-0.24999684987765614,0.42713659353511657,0
13,63.75,0.31515884958512314,-0.1782799449973721,16399.0,-0.36284936561801856,0.4574970554282601,1
14,65.0,0.31255054609213107,-0.20977703045224458,14955.0,-0.330640146425537,0.4462065706216671,0
15,35.0,0.2220943651224132,-0.3495987295655181,18422.0,-0.12537204490246223,0.480821523594678,0
16,40.0,0.22337871916403182,-0.18748618557143912,6557.0,-0.15161928601682692,0.472894420568794,0
17,72.5,0.20437765697884044,-0.28130431903267245,5532.0,-0.22329776696174922,0.5488647951516096,1
18,90.0,0.2013793536802716,-0.36115248769033537,4329.0,-0.21346237482927602,0.47037651612321096,0
19,91.25,0.2005240513835597,-0.3439456984397082,9676.0,-0.13274853473670045,0.399702311001908,0
20,21.25,0.15866385899382854,-0.21961859585114632,2929.0,-0.17908997737371188,0.36263286538391526,1
21,22.5,0.1733124772578792,-0.21348595636309772,1344.0,-0.14752253713437039,0.5815156954203226,0
